 38.2980 C 	 2118875520026780 ns 
 40.3652 C 	 2118879921539018 ns 
 37.7229 C 	 2118879934869640 ns 
 38.1271 C 	 2118879946840182 ns 
 36.6971 C 	 2118879960551594 ns 
 37.8317 C 	 2118879976258517 ns 
 38.8109 C 	 2118879988237489 ns 
 38.8887 C 	 2118880000449801 ns 
 37.8473 C 	 2118880016687213 ns 
 37.9094 C 	 2118880032404396 ns 
 38.7799 C 	 2118880048553908 ns 
 40.0388 C 	 2118880060697250 ns 
 38.4068 C 	 2118880076729433 ns 
 38.4224 C 	 2118880088665715 ns 
 38.8887 C 	 2118880104393817 ns 
 38.8731 C 	 2118880116737769 ns 
 38.9975 C 	 2118880132287672 ns 
 38.1581 C 	 2118880144104734 ns 
 39.0441 C 	 2118880156040176 ns 
 37.5053 C 	 2118880172239578 ns 
 38.4379 C 	 2118880184383700 ns 
 38.8731 C 	 2118880196461702 ns 
 38.0027 C 	 2118880210387795 ns 
 40.4430 C 	 2118880226097447 ns 
 38.9197 C 	 2118880238234309 ns 
 37.7696 C 	 2118880254109982 ns 
 38.0338 C 	 2118880266264754 ns 
 38.6089 C 	 2118880278140705 ns 
 38.5933 C 	 2118880292723738 ns 
 38.5623 C 	 2118880308501640 ns 
 39.8523 C 	 2118880320490152 ns 
 38.9664 C 	 2118880332327524 ns 
 38.2359 C 	 2118880346341846 ns 
 39.5104 C 	 2118880361331409 ns 
 38.2980 C 	 2118880374623781 ns 
 38.3757 C 	 2118880390509354 ns 
 38.5001 C 	 2118880402342555 ns 
 38.3447 C 	 2118880414519527 ns 
 37.4432 C 	 2118880430190060 ns 
 39.4948 C 	 2118880442351462 ns 
 38.4379 C 	 2118880458205084 ns 
 39.5415 C 	 2118880470433026 ns 
 38.2048 C 	 2118880482381908 ns 
 39.0752 C 	 2118880497669581 ns 
 39.3550 C 	 2118880509734293 ns 
 39.8368 C 	 2118880525701105 ns 
 37.4898 C 	 2118880537666697 ns 
 39.0441 C 	 2118880549994419 ns 
 38.7954 C 	 2118880564486941 ns 
 40.3497 C 	 2118880576637783 ns 
 38.3602 C 	 2118880592666606 ns 
 39.4948 C 	 2118880604584168 ns 
 38.7954 C 	 2118880622921161 ns 
 38.0804 C 	 2118880635197223 ns 
 39.4638 C 	 2118880651346525 ns 
 38.9664 C 	 2118880667366678 ns 
 38.0960 C 	 2118880679596000 ns 
 38.3757 C 	 2118880695653053 ns 
 37.6608 C 	 2118880707547935 ns 
 37.3965 C 	 2118880719725416 ns 
 39.0441 C 	 2118880737122479 ns 
 38.5312 C 	 2118880748732181 ns 
 37.7540 C 	 2118880760921213 ns 
 38.7643 C 	 2118880776689636 ns 
 40.9559 C 	 2118880789765348 ns 
 38.9197 C 	 2118880805747670 ns 
 38.6711 C 	 2118880817865662 ns 
 38.9197 C 	 2118880829592094 ns 
 40.3031 C 	 2118880845033667 ns 
 38.4690 C 	 2118880857072339 ns 
 38.9042 C 	 2118880872923351 ns 
 37.9872 C 	 2118880885086103 ns 
 38.2514 C 	 2118880897285095 ns 
 39.5881 C 	 2118880913322588 ns 
 38.3757 C 	 2118880925419610 ns 
 39.8834 C 	 2118880941937912 ns 
 40.8315 C 	 2118880954093944 ns 
 37.5364 C 	 2118880966043906 ns 
 39.1063 C 	 2118880982055809 ns 
 39.0752 C 	 2118880994472301 ns 
 39.2306 C 	 2118881006423823 ns 
 38.8420 C 	 2118881022241985 ns 
 37.9716 C 	 2118881034682777 ns 
 37.6918 C 	 2118881046941229 ns 
 38.9819 C 	 2118881062530342 ns 
 38.9664 C 	 2118881074762724 ns 
 39.1684 C 	 2118881086963336 ns 
 38.6400 C 	 2118881100396558 ns 
 38.4690 C 	 2118881115284570 ns 
 38.2514 C 	 2118881132469503 ns 
 38.8576 C 	 2118881148440125 ns 
 38.4068 C 	 2118881160447987 ns 
 36.4018 C 	 2118881176173150 ns 
 38.1271 C 	 2118881192549163 ns 
 39.1840 C 	 2118881208623915 ns 
 38.6244 C 	 2118881220836977 ns 
 38.9197 C 	 2118881238141910 ns 
 38.8731 C 	 2118881250438132 ns 
 38.9508 C 	 2118881262359324 ns 
 37.9872 C 	 2118881277937216 ns 
 38.9975 C 	 2118881290013688 ns 
 39.1063 C 	 2118881306345661 ns 
 38.4068 C 	 2118881318037443 ns 
 38.2669 C 	 2118881330015995 ns 
 38.7643 C 	 2118881346213867 ns 
 39.0907 C 	 2118881358021749 ns 
 38.7488 C 	 2118881374327022 ns 
 37.6918 C 	 2118881386516714 ns 
 39.0752 C 	 2118881398274796 ns 
 38.6555 C 	 2118881414148128 ns 
 37.4742 C 	 2118881426673130 ns 
 38.9197 C 	 2118881442390133 ns 
 37.7851 C 	 2118881454616965 ns 
 39.1684 C 	 2118881466555167 ns 
 39.4171 C 	 2118881482106929 ns 
 38.1892 C 	 2118881494715421 ns 
 37.8939 C 	 2118881511095934 ns 
 38.0493 C 	 2118881523109856 ns 
 38.8576 C 	 2118881539263928 ns 
 37.3965 C 	 2118881555067781 ns 
 37.9561 C 	 2118881567114013 ns 
 38.8731 C 	 2118881584462266 ns 
 39.1840 C 	 2118881596508888 ns 
 39.5726 C 	 2118881608577470 ns 
 37.6763 C 	 2118881624111532 ns 
 39.4327 C 	 2118881636391044 ns 
 38.0960 C 	 2118881652042857 ns 
 38.5467 C 	 2118881664261528 ns 
 38.8576 C 	 2118881676360470 ns 
 38.8265 C 	 2118881693129123 ns 
 39.7746 C 	 2118881704765375 ns 
 37.1789 C 	 2118881716654887 ns 
 39.1218 C 	 2118881732370869 ns 
 37.4121 C 	 2118881744401321 ns 
 38.7954 C 	 2118881760091834 ns 
 39.3083 C 	 2118881772203916 ns 
 38.3447 C 	 2118881788078808 ns 
 38.1892 C 	 2118881799933670 ns 
 38.9664 C 	 2118881812439802 ns 
 39.8523 C 	 2118881828270925 ns 
 40.3342 C 	 2118881840340347 ns 
 39.6814 C 	 2118881852433559 ns 
 39.4948 C 	 2118881869586602 ns 
 38.8109 C 	 2118881881825914 ns 
 38.2514 C 	 2118881893924585 ns 
 37.6918 C 	 2118881909758138 ns 
 38.7332 C 	 2118881922082620 ns 
 37.9250 C 	 2118881938309383 ns 
 38.3913 C 	 2118881950347185 ns 
 39.6347 C 	 2118881962432176 ns 
 39.2306 C 	 2118881978179779 ns 
 37.6918 C 	 2118881990762711 ns 
 38.2359 C 	 2118882002760973 ns 
 38.0960 C 	 2118882020281906 ns 
 38.9042 C 	 2118882031894548 ns 
 37.7074 C 	 2118882049466510 ns 
 39.6503 C 	 2118882065537783 ns 
 37.8939 C 	 2118882077782465 ns 
 39.4482 C 	 2118882092983407 ns 
 38.6555 C 	 2118882104942189 ns 
 38.1271 C 	 2118882116956171 ns 
 37.9716 C 	 2118882132708454 ns 
 37.7229 C 	 2118882144927246 ns 
 38.2359 C 	 2118882160873448 ns 
 37.4898 C 	 2118882172779550 ns 
 38.6400 C 	 2118882184705872 ns 
 39.3239 C 	 2118882201429975 ns 
 39.8990 C 	 2118882214135337 ns 
 39.3705 C 	 2118882230036480 ns 
 39.4171 C 	 2118882242213842 ns 
 38.6400 C 	 2118882254468723 ns 
 37.7074 C 	 2118882270712826 ns 
 39.6969 C 	 2118882285154918 ns 
 38.9197 C 	 2118882297192060 ns 
 40.0233 C 	 2118882313243203 ns 
 38.9197 C 	 2118882324903035 ns 
 38.9508 C 	 2118882339507517 ns 
 38.4690 C 	 2118882353367369 ns 
 38.2048 C 	 2118882365398001 ns 
 37.8939 C 	 2118882380778794 ns 
 38.7954 C 	 2118882393682816 ns 
 38.5001 C 	 2118882410132809 ns 
 38.7643 C 	 2118882422024660 ns 
 37.6918 C 	 2118882434231692 ns 
 38.8731 C 	 2118882448887415 ns 
 38.0338 C 	 2118882464866047 ns 
 39.5259 C 	 2118882476950439 ns 
 37.8162 C 	 2118882489334201 ns 
 38.6244 C 	 2118882505376434 ns 
 38.0338 C 	 2118882517352646 ns 
 39.8368 C 	 2118882531392528 ns 
 37.7229 C 	 2118882546847901 ns 
 38.5467 C 	 2118882562797373 ns 
 39.5415 C 	 2118882579521086 ns 
 39.9767 C 	 2118882591510678 ns 
 38.8887 C 	 2118882608223140 ns 
 38.2048 C 	 2118882620536252 ns 
 38.1892 C 	 2118882637197235 ns 
 38.6711 C 	 2118882652586398 ns 
 38.2669 C 	 2118882664123559 ns 
