 37.2100 C 	 2117225597451833 ns 
 38.3447 C 	 2117228528807625 ns 
 39.7280 C 	 2117228544852378 ns 
 39.0907 C 	 2117228556578840 ns 
 39.1529 C 	 2117228572183612 ns 
 38.3602 C 	 2117228584605324 ns 
 38.6866 C 	 2117228598463586 ns 
 38.4535 C 	 2117228613230279 ns 
 38.0027 C 	 2117228624884531 ns 
 39.3239 C 	 2117228641871493 ns 
 37.3654 C 	 2117228658667506 ns 
 37.7385 C 	 2117228671505708 ns 
 38.6400 C 	 2117228685492190 ns 
 40.0233 C 	 2117228700724273 ns 
 39.2462 C 	 2117228716513905 ns 
 39.7746 C 	 2117228732439558 ns 
 37.8939 C 	 2117228748374571 ns 
 36.9302 C 	 2117228764199483 ns 
 39.1684 C 	 2117228779520966 ns 
 39.1218 C 	 2117228795525818 ns 
 38.4379 C 	 2117228807273910 ns 
 37.6141 C 	 2117228823131913 ns 
 37.9250 C 	 2117228839035365 ns 
 37.9094 C 	 2117228854913168 ns 
 37.2877 C 	 2117228870334970 ns 
 37.9716 C 	 2117228888215993 ns 
 38.0649 C 	 2117228906212216 ns 
 38.3757 C 	 2117228926345969 ns 
 37.1323 C 	 2117228942120932 ns 
 38.6866 C 	 2117228958398904 ns 
 38.2359 C 	 2117228970331826 ns 
 38.3136 C 	 2117228986260899 ns 
 38.1115 C 	 2117229004466342 ns 
 38.3447 C 	 2117229016333894 ns 
 38.0338 C 	 2117229030641736 ns 
 38.4535 C 	 2117229044826338 ns 
 37.7696 C 	 2117229060766121 ns 
 38.6866 C 	 2117229076895023 ns 
 37.3810 C 	 2117229089177145 ns 
 37.9716 C 	 2117229106408428 ns 
 38.1581 C 	 2117229122046591 ns 
 38.9508 C 	 2117229134063243 ns 
 38.6400 C 	 2117229150767965 ns 
 37.6452 C 	 2117229166719628 ns 
 39.0752 C 	 2117229178620240 ns 
 37.7385 C 	 2117229194634002 ns 
 38.8731 C 	 2117229206346544 ns 
 37.8317 C 	 2117229222440797 ns 
 38.5467 C 	 2117229234512499 ns 
 38.5312 C 	 2117229250605911 ns 
 38.8265 C 	 2117229262632493 ns 
 37.3499 C 	 2117229274465845 ns 
 38.6555 C 	 2117229290547708 ns 
 36.6505 C 	 2117229302544710 ns 
 37.3344 C 	 2117229314553382 ns 
 38.3757 C 	 2117229330215094 ns 
 38.4535 C 	 2117229342498026 ns 
 38.7799 C 	 2117229358071959 ns 
 38.6866 C 	 2117229370073821 ns 
 38.7488 C 	 2117229382348473 ns 
 39.4793 C 	 2117229398337785 ns 
 39.0596 C 	 2117229410267827 ns 
 38.7954 C 	 2117229424201839 ns 
 38.0960 C 	 2117229440064642 ns 
 38.6089 C 	 2117229452268914 ns 
 39.1218 C 	 2117229464232586 ns 
 38.6866 C 	 2117229478437048 ns 
 37.5986 C 	 2117229494087631 ns 
 37.1634 C 	 2117229506184383 ns 
 38.0183 C 	 2117229522141655 ns 
 38.1426 C 	 2117229538122388 ns 
 38.1737 C 	 2117229550319910 ns 
 38.7021 C 	 2117229566162402 ns 
 38.5001 C 	 2117229578442274 ns 
 39.8212 C 	 2117229594841957 ns 
 37.8939 C 	 2117229606601539 ns 
 37.8473 C 	 2117229622410311 ns 
 38.4379 C 	 2117229634587373 ns 
 38.1737 C 	 2117229646472925 ns 
 38.4535 C 	 2117229662735268 ns 
 37.1634 C 	 2117229674909330 ns 
 38.8887 C 	 2117229686843572 ns 
 38.5467 C 	 2117229702519834 ns 
 39.0441 C 	 2117229714574586 ns 
 38.3291 C 	 2117229730131509 ns 
 38.8576 C 	 2117229741925320 ns 
 38.5156 C 	 2117229757114953 ns 
 37.3033 C 	 2117229769052855 ns 
 38.0649 C 	 2117229785141977 ns 
 37.6918 C 	 2117229797395899 ns 
 37.8628 C 	 2117229809379731 ns 
 38.8265 C 	 2117229826593164 ns 
 38.6400 C 	 2117229838247266 ns 
 40.2720 C 	 2117229850187058 ns 
 39.2462 C 	 2117229866108300 ns 
 38.2980 C 	 2117229878035672 ns 
 38.1737 C 	 2117229894252085 ns 
 38.8731 C 	 2117229906330897 ns 
 37.6297 C 	 2117229918255599 ns 
 38.0183 C 	 2117229934044061 ns 
 37.3033 C 	 2117229946232793 ns 
 39.5259 C 	 2117229962073006 ns 
 38.1892 C 	 2117229974119298 ns 
 38.2048 C 	 2117229986322460 ns 
 37.3810 C 	 2117230001929092 ns 
 38.3913 C 	 2117230014215174 ns 
 37.7696 C 	 2117230030132877 ns 
 39.0907 C 	 2117230044629569 ns 
 38.3136 C 	 2117230056520701 ns 
 38.1581 C 	 2117230072486104 ns 
 37.6763 C 	 2117230088245166 ns 
 39.2151 C 	 2117230104439439 ns 
 37.5830 C 	 2117230116749821 ns 
 38.4379 C 	 2117230132468113 ns 
 37.9405 C 	 2117230144514255 ns 
 37.3499 C 	 2117230156382497 ns 
 37.3344 C 	 2117230172824870 ns 
 38.3291 C 	 2117230184569542 ns 
 39.4016 C 	 2117230196603924 ns 
 38.7021 C 	 2117230212361936 ns 
 39.6503 C 	 2117230224173088 ns 
 37.4742 C 	 2117230238133530 ns 
 38.8109 C 	 2117230254474233 ns 
 38.4845 C 	 2117230266369955 ns 
 37.5986 C 	 2117230278193077 ns 
 38.7332 C 	 2117230294467479 ns 
 38.7799 C 	 2117230306570561 ns 
 37.3188 C 	 2117230318564863 ns 
 38.4379 C 	 2117230335861756 ns 
 38.1426 C 	 2117230347716318 ns 
 38.9197 C 	 2117230363667831 ns 
 38.8420 C 	 2117230375570542 ns 
 39.1063 C 	 2117230387843994 ns 
 38.0960 C 	 2117230404015707 ns 
 37.7851 C 	 2117230415980609 ns 
 37.9405 C 	 2117230427851521 ns 
 38.0960 C 	 2117230443980393 ns 
 37.9094 C 	 2117230455711535 ns 
 38.1581 C 	 2117230471497238 ns 
 37.9872 C 	 2117230483874700 ns 
 37.0080 C 	 2117230495642322 ns 
 39.1684 C 	 2117230512027244 ns 
 37.6918 C 	 2117230523764416 ns 
 37.6918 C 	 2117230539905889 ns 
 38.1271 C 	 2117230551905201 ns 
 36.8992 C 	 2117230563851113 ns 
 39.2617 C 	 2117230580757465 ns 
 38.7332 C 	 2117230593201857 ns 
 37.5209 C 	 2117230609155320 ns 
 38.3291 C 	 2117230624895033 ns 
 37.1323 C 	 2117230637040175 ns 
 37.3188 C 	 2117230653093297 ns 
 37.7229 C 	 2117230664986409 ns 
 39.1684 C 	 2117230680712532 ns 
 38.1581 C 	 2117230693222174 ns 
 38.9197 C 	 2117230704826025 ns 
 38.2825 C 	 2117230720837118 ns 
 38.9353 C 	 2117230732880620 ns 
 39.3083 C 	 2117230748727343 ns 
 39.6347 C 	 2117230761004904 ns 
 38.7021 C 	 2117230773046816 ns 
 39.3394 C 	 2117230788847549 ns 
 39.3705 C 	 2117230801037331 ns 
 39.2306 C 	 2117230816296923 ns 
 39.1218 C 	 2117230828529335 ns 
 37.9872 C 	 2117230844463898 ns 
 39.5881 C 	 2117230856433960 ns 
 39.4793 C 	 2117230868537552 ns 
 39.8368 C 	 2117230881616954 ns 
 38.6400 C 	 2117230898038687 ns 
 37.4276 C 	 2117230910136938 ns 
 38.3291 C 	 2117230925771561 ns 
 38.9042 C 	 2117230937561533 ns 
 38.0338 C 	 2117230949940075 ns 
 37.3344 C 	 2117230965803687 ns 
 38.4690 C 	 2117230977958279 ns 
 39.4793 C 	 2117230991135902 ns 
 38.8265 C 	 2117231007013974 ns 
 39.0441 C 	 2117231019152606 ns 
 38.9197 C 	 2117231035123379 ns 
 39.9145 C 	 2117231048011171 ns 
 37.4898 C 	 2117231059861893 ns 
 38.9819 C 	 2117231076103775 ns 
 38.3913 C 	 2117231087963737 ns 
 38.0493 C 	 2117231100045819 ns 
 38.4224 C 	 2117231114701751 ns 
 37.4121 C 	 2117231126397313 ns 
 37.8784 C 	 2117231142448576 ns 
 38.9664 C 	 2117231154666588 ns 
 38.6400 C 	 2117231166577220 ns 
 38.8109 C 	 2117231182255702 ns 
 38.4845 C 	 2117231194422504 ns 
 38.9353 C 	 2117231211489867 ns 
 37.9405 C 	 2117231223610529 ns 
 39.0752 C 	 2117231235649231 ns 
 38.7954 C 	 2117231247623673 ns 
 37.1012 C 	 2117231263550225 ns 
 38.4535 C 	 2117231275606777 ns 
 38.3136 C 	 2117231287862109 ns 
 37.2566 C 	 2117231302942572 ns 
 38.3602 C 	 2117231317991684 ns 
 38.0027 C 	 2117231332578766 ns 
 38.7643 C 	 2117231348311879 ns 
 37.7385 C 	 2117231365358722 ns 
 38.6089 C 	 2117231380559694 ns 
 38.2669 C 	 2117231396572827 ns 
 39.0441 C 	 2117231413804980 ns 
 39.5259 C 	 2117231427329522 ns 
 38.0804 C 	 2117231446516205 ns 
 38.5933 C 	 2117231462331487 ns 
 39.4327 C 	 2117231475513519 ns 
 37.6297 C 	 2117231491740552 ns 
 37.4121 C 	 2117231507357085 ns 
 38.9819 C 	 2117231519560307 ns 
 40.7849 C 	 2117231531641968 ns 
 39.2462 C 	 2117231547575961 ns 
 39.9300 C 	 2117231559754283 ns 
 37.3810 C 	 2117231571491725 ns 
 39.3860 C 	 2117231586345957 ns 
 38.9197 C 	 2117231598503489 ns 
 38.3913 C 	 2117231614615052 ns 
 38.7954 C 	 2117231626396624 ns 
 38.1426 C 	 2117231638347546 ns 
 39.1218 C 	 2117231653869788 ns 
 37.9872 C 	 2117231666139220 ns 
 37.2256 C 	 2117231682059623 ns 
 38.5467 C 	 2117231693720385 ns 
 37.8317 C 	 2117231706357017 ns 
 38.4845 C 	 2117231722506769 ns 
 38.4845 C 	 2117231734422471 ns 
 38.4535 C 	 2117231746618733 ns 
 39.1840 C 	 2117231758465045 ns 
 38.1271 C 	 2117231773709937 ns 
 37.6763 C 	 2117231788317120 ns 
 39.8834 C 	 2117231806854393 ns 
 39.0907 C 	 2117231826426816 ns 
 39.8523 C 	 2117231849624830 ns 
 38.7643 C 	 2117231864636352 ns 
 37.3344 C 	 2117231883545055 ns 
 38.7021 C 	 2117231902677078 ns 
 37.8939 C 	 2117231921613771 ns 
 38.6244 C 	 2117231945890195 ns 
 39.0752 C 	 2117231961354148 ns 
 37.9716 C 	 2117231977747140 ns 
 38.8420 C 	 2117231993749383 ns 
 37.6763 C 	 2117232011263896 ns 
 37.3810 C 	 2117232030038619 ns 
 38.5933 C 	 2117232049399032 ns 
 38.1271 C 	 2117232067221675 ns 
 38.5001 C 	 2117232085818348 ns 
 37.7229 C 	 2117232105459441 ns 
 38.5623 C 	 2117232122063964 ns 
 37.6297 C 	 2117232137838776 ns 
 39.3860 C 	 2117232153813179 ns 
 38.7177 C 	 2117232169200841 ns 
 37.6141 C 	 2117232184270594 ns 
 38.1426 C 	 2117232199003116 ns 
 38.5156 C 	 2117232213903848 ns 
 38.7021 C 	 2117232230565281 ns 
 38.1737 C 	 2117232249502694 ns 
 37.7229 C 	 2117232267433037 ns 
 38.0804 C 	 2117232284627090 ns 
 38.5467 C 	 2117232299599642 ns 
 38.3602 C 	 2117232316418935 ns 
 38.6555 C 	 2117232333732568 ns 
 36.7282 C 	 2117232350730210 ns 
 38.9042 C 	 2117232364898793 ns 
 37.7696 C 	 2117232378192785 ns 
 38.5312 C 	 2117232393215977 ns 
 37.7074 C 	 2117232406476339 ns 
 39.5570 C 	 2117232421128612 ns 
 39.3550 C 	 2117232435012164 ns 
 39.5104 C 	 2117232450297466 ns 
 37.9872 C 	 2117232465318259 ns 
 38.6244 C 	 2117232479686221 ns 
 39.2772 C 	 2117232496103244 ns 
 37.4742 C 	 2117232513701907 ns 
 38.6089 C 	 2117232530225699 ns 
 37.6452 C 	 2117232545845442 ns 
 38.9975 C 	 2117232560093944 ns 
 38.3447 C 	 2117232574975416 ns 
 39.9145 C 	 2117232589042029 ns 
 38.7332 C 	 2117232610307742 ns 
 38.9042 C 	 2117232630462765 ns 
 38.5778 C 	 2117232651131989 ns 
 37.3810 C 	 2117232670097962 ns 
 38.5312 C 	 2117232686037174 ns 
 37.9872 C 	 2117232701132997 ns 
 37.8939 C 	 2117232716396429 ns 
 39.1063 C 	 2117232731643212 ns 
 38.0183 C 	 2117232746408044 ns 
 38.3757 C 	 2117232760616616 ns 
 39.0596 C 	 2117232773765408 ns 
 38.8420 C 	 2117232788334881 ns 
 38.1426 C 	 2117232802988683 ns 
 38.1426 C 	 2117232817389885 ns 
 38.4690 C 	 2117232831828828 ns 
 38.5623 C 	 2117232845808710 ns 
 38.8420 C 	 2117232859084552 ns 
 38.5156 C 	 2117232875811385 ns 
 39.1529 C 	 2117232893435368 ns 
 38.5467 C 	 2117232909688410 ns 
 38.7488 C 	 2117232927523953 ns 
 38.6711 C 	 2117232943243446 ns 
 39.0441 C 	 2117232958265648 ns 
 38.6244 C 	 2117232973997531 ns 
 38.8576 C 	 2117232989157763 ns 
 38.6400 C 	 2117233003819635 ns 
 37.6608 C 	 2117233019573718 ns 
 38.5623 C 	 2117233033553420 ns 
 39.0130 C 	 2117233047934013 ns 
 37.5209 C 	 2117233061990605 ns 
 39.0130 C 	 2117233076026617 ns 
 38.8576 C 	 2117233090957139 ns 
 37.6141 C 	 2117233106563712 ns 
 38.2669 C 	 2117233120548844 ns 
 37.8162 C 	 2117233134369606 ns 
 38.7488 C 	 2117233148816589 ns 
 39.2306 C 	 2117233162860821 ns 
 38.7954 C 	 2117233177392493 ns 
 37.8162 C 	 2117233190517045 ns 
 37.3810 C 	 2117233205280678 ns 
 38.7177 C 	 2117233219669130 ns 
 38.2514 C 	 2117233234021432 ns 
 39.4948 C 	 2117233248312685 ns 
 38.0493 C 	 2117233262690607 ns 
 38.3447 C 	 2117233275862649 ns 
 37.4898 C 	 2117233290781532 ns 
 39.1995 C 	 2117233304111014 ns 
 38.6400 C 	 2117233317550656 ns 
 38.5623 C 	 2117233332002678 ns 
 37.8006 C 	 2117233345933120 ns 
 38.4379 C 	 2117233360164013 ns 
 38.7954 C 	 2117233373923485 ns 
 38.6400 C 	 2117233388626847 ns 
 38.2980 C 	 2117233401794179 ns 
 38.9819 C 	 2117233416877402 ns 
 37.9405 C 	 2117233432826874 ns 
 38.0183 C 	 2117233447972257 ns 
 38.2203 C 	 2117233462730699 ns 
 38.2514 C 	 2117233477815062 ns 
 39.5726 C 	 2117233491359674 ns 
 39.0752 C 	 2117233507015596 ns 
 38.4379 C 	 2117233522294419 ns 
 38.4535 C 	 2117233537542611 ns 
 38.8887 C 	 2117233553177804 ns 
 37.4587 C 	 2117233567196146 ns 
 38.8420 C 	 2117233581199788 ns 
 38.5623 C 	 2117233595243961 ns 
 38.1892 C 	 2117233609919513 ns 
 38.0804 C 	 2117233624520605 ns 
 39.5570 C 	 2117233640575738 ns 
 39.3394 C 	 2117233655705040 ns 
 38.3291 C 	 2117233672703643 ns 
 37.9094 C 	 2117233689231846 ns 
 37.5830 C 	 2117233702617008 ns 
 38.2980 C 	 2117233718409940 ns 
 39.4327 C 	 2117233735095613 ns 
 37.9250 C 	 2117233752357886 ns 
 38.8731 C 	 2117233768935199 ns 
 38.8265 C 	 2117233783925121 ns 
 40.5362 C 	 2117233799273933 ns 
 38.4535 C 	 2117233814831696 ns 
 38.8109 C 	 2117233829143648 ns 
 38.8731 C 	 2117233845743161 ns 
 38.1737 C 	 2117233861479963 ns 
 39.3239 C 	 2117233878101856 ns 
 38.8887 C 	 2117233891631708 ns 
 38.3136 C 	 2117233906473491 ns 
 38.4845 C 	 2117233921666363 ns 
 38.3447 C 	 2117233937487526 ns 
 39.4482 C 	 2117233952521998 ns 
 38.5623 C 	 2117233968636021 ns 
 38.6400 C 	 2117233988446914 ns 
 37.9872 C 	 2117234002864016 ns 
 37.8784 C 	 2117234019782729 ns 
 38.8731 C 	 2117234038137482 ns 
 38.3602 C 	 2117234055580505 ns 
 38.9042 C 	 2117234074917308 ns 
 38.6244 C 	 2117234094032591 ns 
 39.8057 C 	 2117234112388214 ns 
 37.9716 C 	 2117234128510186 ns 
 38.5312 C 	 2117234142496279 ns 
 38.6866 C 	 2117234161374802 ns 
 37.8473 C 	 2117234177060784 ns 
 38.3136 C 	 2117234192646117 ns 
 38.5933 C 	 2117234208565019 ns 
 39.2306 C 	 2117234222809202 ns 
 37.7540 C 	 2117234237901814 ns 
 39.0130 C 	 2117234252276136 ns 
 37.7385 C 	 2117234266671669 ns 
 38.6244 C 	 2117234281907831 ns 
 37.8473 C 	 2117234296890374 ns 
 37.8317 C 	 2117234312125636 ns 
 38.0493 C 	 2117234325456528 ns 
 39.5726 C 	 2117234339644730 ns 
 39.7902 C 	 2117234353266833 ns 
 39.4482 C 	 2117234367068665 ns 
 38.6711 C 	 2117234381829057 ns 
 38.0960 C 	 2117234395972859 ns 
 38.0493 C 	 2117234409918362 ns 
 38.5778 C 	 2117234424081364 ns 
 38.0649 C 	 2117234437748136 ns 
 38.7488 C 	 2117234452201119 ns 
 37.6452 C 	 2117234465392511 ns 
 38.9353 C 	 2117234479623733 ns 
 39.9145 C 	 2117234493722325 ns 
 39.3239 C 	 2117234506983107 ns 
 39.5415 C 	 2117234520832070 ns 
 37.7229 C 	 2117234535004852 ns 
 39.8057 C 	 2117234549036214 ns 
 38.2669 C 	 2117234562450506 ns 
 37.8939 C 	 2117234576911649 ns 
 38.3602 C 	 2117234590299241 ns 
 39.1373 C 	 2117234604392073 ns 
 37.7074 C 	 2117234618238275 ns 
 39.5881 C 	 2117234632407398 ns 
 37.6452 C 	 2117234646255220 ns 
 38.3757 C 	 2117234660591322 ns 
 39.2306 C 	 2117234674758434 ns 
 40.3652 C 	 2117234688518567 ns 
 38.9042 C 	 2117234702123749 ns 
 37.5053 C 	 2117234716085241 ns 
 38.7799 C 	 2117234730690293 ns 
 40.1476 C 	 2117234745067346 ns 
 39.1684 C 	 2117234758631278 ns 
 38.8265 C 	 2117234773201290 ns 
 37.9872 C 	 2117234786992712 ns 
 39.5881 C 	 2117234801350595 ns 
 39.2772 C 	 2117234814704407 ns 
 38.4845 C 	 2117234829080859 ns 
 38.6555 C 	 2117234842451831 ns 
 38.5001 C 	 2117234857221014 ns 
 38.6089 C 	 2117234871630196 ns 
 38.7954 C 	 2117234885031438 ns 
 39.1373 C 	 2117234902437141 ns 
 38.9508 C 	 2117234919488154 ns 
 38.7332 C 	 2117234937601647 ns 
 38.9197 C 	 2117234953943339 ns 
 38.6244 C 	 2117234969102852 ns 
 38.6711 C 	 2117234984009914 ns 
 39.5104 C 	 2117234999084527 ns 
 38.9353 C 	 2117235016884759 ns 
 37.8006 C 	 2117235032517432 ns 
 38.2203 C 	 2117235048112424 ns 
 38.5467 C 	 2117235063625187 ns 
 38.3757 C 	 2117235077625529 ns 
 39.3083 C 	 2117235092241202 ns 
 39.6814 C 	 2117235106834224 ns 
 37.5675 C 	 2117235121414646 ns 
 39.6036 C 	 2117235135525898 ns 
 38.3136 C 	 2117235149337631 ns 
 38.1737 C 	 2117235163665213 ns 
 37.9561 C 	 2117235178004945 ns 
 38.2825 C 	 2117235191625218 ns 
 38.5623 C 	 2117235206131540 ns 
 40.2564 C 	 2117235220869102 ns 
 36.9613 C 	 2117235234797354 ns 
 38.7799 C 	 2117235248997407 ns 
 38.0649 C 	 2117235262942339 ns 
 38.2203 C 	 2117235277005591 ns 
 38.4379 C 	 2117235290620043 ns 
 38.2359 C 	 2117235305021396 ns 
