 37.7851 C 	 2117959593321097 ns 
 38.2203 C 	 2117965643210931 ns 
 38.3913 C 	 2117965658796353 ns 
 39.1684 C 	 2117965671092905 ns 
 39.1529 C 	 2117965686938008 ns 
 38.7021 C 	 2117965699133400 ns 
 39.0441 C 	 2117965711060172 ns 
 38.0027 C 	 2117965727050054 ns 
 37.5830 C 	 2117965738920426 ns 
 38.0183 C 	 2117965754702379 ns 
 38.3447 C 	 2117965766522861 ns 
 39.3083 C 	 2117965778808493 ns 
 37.4898 C 	 2117965794859635 ns 
 37.8317 C 	 2117965806830627 ns 
 38.9975 C 	 2117965818792109 ns 
 39.0130 C 	 2117965834717912 ns 
 39.9922 C 	 2117965846790784 ns 
 36.9147 C 	 2117965860655946 ns 
 38.8887 C 	 2117965874966998 ns 
 38.7643 C 	 2117965890954871 ns 
 38.5933 C 	 2117965907170683 ns 
 38.8420 C 	 2117965922915826 ns 
 38.1581 C 	 2117965934884358 ns 
 37.8628 C 	 2117965946970550 ns 
 37.9405 C 	 2117965963023462 ns 
 38.8731 C 	 2117965974532154 ns 
 39.5726 C 	 2117965990259507 ns 
 39.2772 C 	 2117966002001869 ns 
 39.2306 C 	 2117966014110501 ns 
 39.3083 C 	 2117966031267713 ns 
 37.5986 C 	 2117966043131305 ns 
 38.7954 C 	 2117966055135597 ns 
 39.0130 C 	 2117966072068710 ns 
 38.4224 C 	 2117966084017862 ns 
 39.7902 C 	 2117966095963654 ns 
 38.7332 C 	 2117966112199926 ns 
 39.0441 C 	 2117966124224258 ns 
 38.9819 C 	 2117966140165001 ns 
 39.6503 C 	 2117966152521313 ns 
 38.3136 C 	 2117966164232505 ns 
 39.3550 C 	 2117966180524847 ns 
 37.9094 C 	 2117966192602309 ns 
 38.2203 C 	 2117966208297172 ns 
 39.6814 C 	 2117966220685074 ns 
 38.5933 C 	 2117966232814016 ns 
 38.9042 C 	 2117966248733908 ns 
 38.4068 C 	 2117966261025330 ns 
 38.9664 C 	 2117966272963292 ns 
 38.3602 C 	 2117966288550935 ns 
 39.5415 C 	 2117966300941417 ns 
 38.3447 C 	 2117966317164909 ns 
 39.0285 C 	 2117966328990671 ns 
 38.2669 C 	 2117966340909523 ns 
 40.3342 C 	 2117966357031256 ns 
 38.3291 C 	 2117966368954068 ns 
 38.4224 C 	 2117966385144350 ns 
 39.1529 C 	 2117966397424582 ns 
 37.8939 C 	 2117966409016734 ns 
 39.5415 C 	 2117966425429707 ns 
 38.5623 C 	 2117966437387079 ns 
 38.4068 C 	 2117966449210231 ns 
 38.8731 C 	 2117966463204183 ns 
 39.4171 C 	 2117966479736106 ns 
 39.0907 C 	 2117966498780169 ns 
 38.3602 C 	 2117966512536341 ns 
